country	Access_to_Electricity_percent_of_Population	basic_drinking_water_access_pct	Control_of_Corruption_Percentile_Rank_Upper_Bound_of_90_percent_Confidence_Interval	death_20_24_years	Employment_in_Industry_Female_percent_of_Female_Employment_ILO_modeled_estimates	Employment_to_Population_Ratio_Ages_15__Total_percent_ILO_modeled_estimates	Employment_to_Population_Ratio_Ages_15_24_Male_percent_ILO_modeled_estimates	energy_consumption_gnipct	energy_intensity_mj_gdp	export_value_index_2000	export_volume_index_2000	Female_to_Male_Labor_Force_Participation_Rate_Ratio_percent_ILO_modeled_estimates	fertility_rate_total	gdp_deflator	GDP_per_Employed_Person_constant_2021_PPP_dollars	government_effectiveness_estimate	Gross_Enrollment_Ratio_of_Girls_in_Primary_School_percent	Labor_Force_Participation_Rate_Male_percent_of_Male_Population_Ages_15__ILO_modeled_estimates	Labor_Force_Participation_Rate_of_Women_Aged_15_24_percent_ILO_modeled_estimates	male_population_0_14_pct	Merchandise_Trade_percent_of_GDP	open_defecation_percent	personal_remittances_gdp_percent	Population_Aged_20_24_Female_percent_of_Female_Population	primary_school_enrollment_gross	refugee_population	Rule_of_Law_estimate	rural_electricity_access_pct	service_value_added_growth	Total_Cases	Unemployment_Rate_Youth_Total_percent_of_Total_Labor_Force_Ages_15_24_ILO_modeled_estimates	unemployment_total_ilo	voice_accountability_estimate	Women_Business_and_the_Law_Index_score_scale_1_100	women_parliament_seats_percent	year
ETH	20	29.298	42.718	24514	9	80	78	0	16	43.832	56.224	83	5.74	26.678	2614	-0.472	83	89	71	46.745	35.956	56.012	2	8.593	88	59845	-0.659	8	16	24121	3	2	-1.204	66	22	2007
GBR	100	100	96.117	1978	9	59	54	1	3	94.256	90.616	80	1.86	86.462	105222	1.642	103	70	59	18.579	35.314	0	0	6.442	103	198	1.72	100	4	32	14	5	1.336	92	20	2007
GHA	57	72.424	65.534	5188	14	68	45	0	3	40.642	56.822	92	4.307	40.938	9473	0.086	95	75	48	40.351	49.365	19.647	0	10.075	97	5042	0.039	32	8	179	10	5	0.497	75	11	2007
IND	72	84.292	52.427	215773	15	50	47	1	6	56.039	57.298	38	2.784	71.191	12941	0.137	113	78	22	32.696	31.192	52.928	3	9.253	114	20455	0.097	64	8	2635	16	9	0.454	66	9	2007
IRQ	98	87.07	11.65	2707	13	38	46	9	5	71.674	48.199	17	4.371	100	48661	-1.564	94	73	7	43.215	70.673	2.65	0	8.959	104	2309246	-1.838	95	-1	4696	17	9	-1.126	33	25	2007
ITA	100	99.737	73.301	1406	17	46	29	0	3	109.386	108.873	63	1.4	89.96	135200	0.192	103	60	25	14.97	45.707	0	0	4.909	104	84	0.468	100	2	1	20	6	1.112	89	17	2007
KEN	28	52.568	27.67	11419	8	71	44	0	5	69.093	88.401	93	4.719	47.526	10243	-0.529	107	76	47	44.139	40.897	14.419	2	10.124	108	7544	-0.971	19	7	1206	7	3	-0.249	58	7	2007
MOZ	12	33.354	49.515	8551	1	79	59	1	15	70.668	61.929	103	5.513	56.43	2531	-0.548	103	80	72	46.293	50.52	46.296	1	8.717	112	213	-0.609	2	8	2622	7	3	-0.082	59	35	2007
MWI	7	59.67	51.456	5502	5	75	63	0	5	80.415	109.875	92	5.736	22.476	3414	-0.572	130	82	65	47.023	35.017	10.911	0	10.01	131	93	-0.166	3	7	475	7	5	-0.262	62	13	2007
NAM	44	79.435	73.301	718	7	44	20	0	3	71.836	69.247	82	3.552	60.137	37865	0.195	113	62	28	39.284	72.877	50.807	0	9.481	115	1123	0.161	22	7	14	44	22	0.45	74	27	2007
NER	11	41.971	37.864	4911	12	78	77	0	5	60.992	55.189	76	7.559	75.817	3115	-0.8	42	90	59	48.882	32.819	77.376	1	8.231	50	817	-0.613	4	4	24	4	2	-0.368	54	12	2007
NGA	50	55.209	21.845	38373	11	58	28	7	8	132.638	105.381	89	6.08	72.606	14871	-1.032	85	64	30	44.318	36.454	22.695	6	8.906	91	13898	-1.061	25	13	1661	10	4	-0.76	57	7	2007
NPL	53	83.896	37.864	3426	9	36	37	0	6	120.499	141.805	38	2.843	56.124	12138	-0.725	129	59	17	39.13	38.642	47.639	17	9.417	131	3364	-0.589	46	5	204	20	11	-0.586	47	17	2007
RWA	13	51.113	66.99	2411	1	54	42	0	6	25.918	31.24	79	5.1	57.34	4905	-0.246	149	69	44	44.036	23.289	3.427	0	10.674	148	80955	-0.58	5	12	1453	16	12	-1.246	64	49	2007
SDN	30.45	58.3	40.12135	12213	7.4	64.15	45.4	4.55	8.05	70.0074	80.75875	85.9	5.3614	85.75509524	11668.75	-0.8002	102.1	74.1	47.7	44.9656	51.39045	56	1.75	9.4835	102.8142857	837188	-0.76805	49	7.85	4609.35	27	7.35	-0.5788	61.85	16.75	2007
SSD	30.45	41.187	40.12135	4120	7.4	64.15	45.4	4.55	8.05	70.0074	80.75875	85.9	5.3614	113	10790.35	-0.8002	102.1	74.1	47.7	44.9656	51.39045	71	1.75	9.4835	37.1	118459	-0.76805	0.2	7.85	4609.35	19	7.35	-0.5788	61.85	16.75	2007
STP	58	72.366	58.252	41	4	46	41	0	4	60.124	88.37	52	4.872	77.623	17745	-0.753	122	72	22	42.647	57.661	60.959	1	9.942	122	32	-0.457	42	3	90	24	16	0.191	54	2	2007
SVN	100	99.5	85.437	87	23	57	43	0	4	94.276	83.134	80	1.38	89.375	82891	0.889	96	66	36	14.663	128.28	0	1	6.507	96	47	0.946	100	5	1	10	5	1.063	88	12	2007
TGO	30	54.067	28.641	1460	10	56	23	0	11	66.982	77.127	90	5.092	80.29	5842	-1.525	101	62	29	42.302	50.905	54.575	8	9.205	109	22481	-0.93	12	6	65	7	4	-1.068	69	11	2007
THA	94	96.594	52.427	8558	19	73	54	2	5	71.797	86.93	81	1.578	119.747	27330	0.286	103	82	42	21.392	111.748	0.721	1	7.708	104	2322	-0.137	91	5	1428	5	1	-0.563	64	12	2007
TZA	16	38.978	55.34	8828	3	85	75	0	10	46.066	63.424	97	5.485	46.424	4973	-0.424	109	89	79	45.524	34.199	10.095	0	9.494	111	1250	-0.379	6	8	1609	6	3	-0.142	81	30	2007
UGA	15	35.85	34.466	9244	5	68	54	0	12	58.962	72.283	86	6.379	54.459	5922	-0.452	118	75	52	51.243	40.579	10.678	4	8.772	118	21325	-0.358	7	10	276	4	3	-0.486	68	31	2007
UKR	100	96.352	32.524	5754	16	53	31	1	10	129.294	142.415	87	1.345	24.973	41120	-0.725	103	60	34	15.748	73.9	0.013	4	7.608	103	25980	-0.746	100	12	1	13	6	0.064	73	8	2007
VNM	93	86.445	42.233	7461	16	73	53	5	4	29.964	41.188	90	1.913	68.479	11735	-0.226	99	78	55	27.129	143.698	10.94	8	9.468	100	327770	-0.49	91	9	1946	6	2	-1.527	68	26	2007
ZMB	18	54.582	53.398	5519	3	53	33	0	10	69.892	64.223	77	5.609	75.14	10110	-0.747	113	68	36	48.051	61.35	20.78	0	9.638	116	192	-0.53	1	11	2286	22	11	-0.207	61	15	2007
ZWE	37	69.115	10.68	6174	4	62	50	2	20	73.886	84.516	86	3.652	6.412	7179	-1.299	104	71	43	44.638	105.5	27.075	0	11.91	107	14366	-1.809	13	-2	65	9	5	-1.572	87	16	2007
AFG	42	43.633	4.369	4850	13	43	56	0	2	94.515	105.978	20	6.376	69.104	10150	-1.528	80	79	14	50.683	35.215	20.033	1	8.078	103	2833116	-1.903	28	15	4384	10	8	-1.169	29	28	2008
AGO	38	48.77	15.534	10567	1	65	36	49	3	192.622	109.732	96	6.32	537.255	28019	-1.061	102	79	59	46.535	95.886	31.666	0	8.866	111	171374	-1.379	7	13	10511	37	16	-1.119	62	37	2008
BDI	5	55.325	22.33	2318	1	77	56	0	8	47.621	54.319	101	6.515	138.32	2337	-1.136	124	77	66	45.685	28.539	2.32	0	10.446	128	281583	-1.038	1	7	234	2	2	-0.685	64	31	2008
BEN	29	63.988	49.515	1814	17	71	44	0	6	76.239	85.789	90	5.483	84.828	7228	-0.493	103	76	51	44.978	36.484	60.791	2	8.984	111	315	-0.531	10	13	985	2	1	0.345	72	11	2008
CHN	99	86.857	47.573	68093	29	69	55	4	9	62.93	66.567	82	1.701	73.763	15320	0.166	108	79	58	19.774	55.792	1.438	0	8.56	107	175169	-0.479	98	10	174	10	5	-1.699	69	21	2008
COD	12	37.092	17.961	23421	4	67	34	2	14	50.662	39.611	94	6.578	164.192	2843	-1.64	87	72	46	46.65	43.965	11.202	0	8.606	95	367991	-1.574	2	10	30150	6	4	-1.388	42	8	2008
COG	37	63.77	19.417	1229	24	54	24	38	3	106.341	88.443	97	4.733	138.23	23751	-1.224	99	69	44	41.25	109.1	8.575	0	9.524	103	19922	-1.193	9	-1	156	40	20	-1.155	49	7	2008
COM	58	85.036	41.748	75	14	41	15	0	3	38.471	79.012	61	4.826	103.144	13508	-1.753	100	53	14	44.155	20.422	0.623	11	9.555	103	376	-1.07	50	5	4	10	5	-0.287	44	3	2008
DNK	100	100	100	128	12	63	64	2	3	122.487	105.016	85	1.89	91.367	123036	2.241	100	70	68	18.988	64.038	0	0	5.502	100	10	1.954	100	1	1	9	4	1.538	94	38	2008
ESP	100	100	91.748	1071	11	52	39	0	3	99.724	80.817	73	1.45	99.124	99906	0.913	102	69	44	15.285	43.036	0	0	5.855	102	26	1.184	100	2	5	24	11	1.185	98	36	2008
ETH	22	30.875	41.262	24051	9	80	78	0	14	54.976	60.157	83	5.571	34.765	2801	-0.45	90	89	71	46.424	36.498	53.176	1	8.791	94	63863	-0.707	10	16	3862	3	2	-1.307	66	22	2008
FIN	100	100	100	227	10	58	44	0	6	161.25	130.243	87	1.85	87.503	121254	2.041	99	66	54	17.507	65.882	0	0	5.885	100	6	1.91	100	3	1	16	6	1.463	94	42	2008
GAB	82	83.017	20.388	309	6	40	15	29	8	187.102	120.869	68	4.118	179.697	78768	-0.901	129	58	16	37.765	77.893	2.077	0	9.693	131	132	-0.624	18	6	2	35	19	-0.845	51	17	2008
GBR	100	100	94.66	1931	9	59	53	1	3	98.695	89.021	80	1.91	89.404	104063	1.635	106	70	58	18.487	39.123	0	0	6.504	106	182	1.697	100	1	8	15	6	1.321	92	20	2008
GHA	60	73.486	62.136	5086	14	68	45	0	3	51.058	54.747	92	4.25	48.884	10090	-0.031	99	75	47	40.095	54.182	19.473	0	9.954	101	13225	-0.062	37	8	1223	10	5	0.432	75	8	2008
IDN	93	82.777	40.777	24112	15	62	48	6	4	92.844	76.937	61	2.479	80.127	18656	-0.263	110	82	39	28.827	52.358	21.101	1	8.773	111	19339	-0.674	88	9	1007	20	7	-0.011	64	12	2008
IND	74	84.915	53.398	211756	16	50	46	2	6	72.71	67.037	37	2.718	77.736	13055	-0.01	115	79	21	32.275	43.028	50.062	4	9.262	115	19551	0.096	66	7	2680	17	8	0.462	66	9	2008
KEN	30	53.275	20.874	11255	8	71	43	0	5	84.672	93.644	93	4.646	54.727	9942	-0.624	106	76	47	44.007	44.934	13.865	2	10.116	108	9682	-1	20	3	3091	7	3	-0.283	76	10	2008
MLI	23	62.486	48.544	3801	4	69	63	0	5	77.193	94.206	75	6.642	130.075	5983	-0.785	72	80	53	46.913	55.253	13.53	4	9.25	79	1751	-0.319	6	5	153	2	1	0.203	49	10	2008
MOZ	14	35.207	50	8937	1	79	59	1	14	77.734	60.136	102	5.579	59.337	2649	-0.557	108	80	71	46.401	51.554	44.453	1	8.761	116	198	-0.617	2	8	9087	7	3	-0.073	77	35	2008
MWI	8	60.489	52.913	5291	5	74	62	0	4	81.381	99.834	91	5.605	25.165	3633	-0.586	136	81	63	47.212	37.618	10.352	0	9.866	138	103	-0.118	3	9	831	7	5	-0.247	62	13	2008
NAM	42	79.927	79.612	721	7	44	20	0	4	77.218	74.343	82	3.587	66.729	37745	0.337	113	62	28	38.73	86.913	49.695	0	9.651	115	976	0.438	23	5	3496	44	22	0.451	80	27	2008
NER	12	42.521	40.291	4979	12	78	79	0	5	83.678	80.171	76	7.539	83.497	3230	-0.735	47	90	59	49.037	35.71	76.583	1	8.162	54	789	-0.681	4	3	972	3	2	-0.442	54	12	2008
NGA	50	56.816	31.068	38005	11	58	28	8	7	171.804	99.788	89	6.078	78.357	15476	-0.987	77	64	30	44.421	40.128	22.44	6	8.785	82	14170	-1.038	26	13	5410	10	4	-0.736	57	7	2008
NLD	100	100	100	326	8	63	64	1	4	111.829	94.052	80	1.77	95.047	122894	1.687	106	73	70	18.39	128.048	0	0	5.894	107	46	1.75	100	3	5	9	4	1.483	92	41	2008
NPL	56	84.468	37.379	3383	10	36	37	0	6	130.263	141.639	39	2.719	59.278	12720	-0.816	129	59	17	38.693	36.101	44.633	22	9.517	130	4190	-0.669	50	7	148	20	11	-0.496	47	33	2008
RWA	6	52.005	68.447	2266	1	54	41	0	6	39.245	33.776	79	4.901	65.627	5298	-0.222	149	69	43	43.92	27.839	3.316	0	10.524	147	72529	-0.472	2	14	23	16	12	-1.312	64	56	2008
SDN	33.44	58.3	42.3884	12213	8.28	61.92	42.32	5.48	7.72	86.21864	80.03424	84.56	5.202	101.7488462	11638.125	-0.74636	105.16	72.52	45	44.0086	55.45396	54	1.8	9.59844	106.3269231	837188	-0.66948	49	6.48	5734.68	23	8.48	-0.49524	63.28	18.8	2008
SSD	33.44	41.187	42.3884	4120	8.28	61.92	42.32	5.48	7.72	86.21864	80.03424	84.56	5.202	113	15276.64	-0.74636	105.16	72.52	45	44.0086	55.45396	71	1.8	9.59844	37.5	118459	-0.66948	0.2	6.48	5734.68	19	8.48	-0.49524	63.28	18.8	2008
STP	59	72.853	58.738	42	4	46	41	0	4	94.005	109.053	52	4.825	100	18310	-0.736	120	72	22	42.621	66.482	59.592	2	9.672	122	32	-0.495	44	4	119	23	16	0.185	54	7	2008
SWZ	43	60.206	68.932	392	25	37	13	0	5	93.808	96.642	80	3.536	83.801	34430	-0.468	112	58	26	40.893	95.626	14.142	3	11.376	119	28	-0.532	36	4	1	56	28	-1.32	39	14	2008
TGO	32	55.262	29.126	1470	13	57	23	0	11	84.369	73.403	90	5.052	87.576	5862	-1.482	103	62	29	42.188	51.585	53.57	7	9.188	109	16734	-0.833	13	11	397	6	3	-0.988	69	11	2008
THA	95	96.919	51.456	7998	19	73	54	3	5	82.954	90.945	81	1.579	125.895	27529	0.157	104	81	41	21	122.52	0.647	1	7.513	105	1811	-0.16	92	1	436	5	1	-0.53	75	12	2008
TZA	12	40.474	53.398	8434	3	85	74	0	10	64.572	76.198	96	5.425	54.029	5138	-0.53	109	89	78	45.628	38.729	9.838	0	9.454	111	1262	-0.355	1	4	2911	5	3	-0.166	81	30	2008
UGA	16	37.29	33.981	9165	5	68	54	0	11	76.06	80.943	86	6.251	57.925	6254	-0.62	121	75	51	51.084	43.281	10.187	5	8.905	121	7533	-0.345	8	-9	3726	5	3	-0.51	68	31	2008
VNM	94	87.252	37.864	7294	16	74	56	5	4	38.679	42.602	89	1.92	84.005	12036	-0.2	97	79	56	26.492	144.657	10.123	7	9.387	99	328175	-0.464	92	8	853	5	2	-1.497	70	26	2008
ZAF	82	88.669	67.476	27433	11	48	26	5	9	99.729	90.708	78	2.679	66.677	42535	0.332	104	68	32	30.97	57.705	6.867	0	10.763	105	449	0.005	75	4	3907	37	20	0.576	79	33	2008
ZMB	26	55.65	53.398	5442	3	55	35	0	9	77.177	68.164	77	5.537	83.135	10174	-0.761	115	68	36	47.776	56.72	19.602	0	9.624	118	191	-0.405	7	12	2061	17	8	-0.161	61	15	2008
ZWE	38	68.59	12.621	5753	4	62	50	5	22	67.729	77.168	86	3.774	6.498	5912	-1.546	104	71	43	44.877	93.303	26.41	0	11.445	106	16824	-1.792	14	-5	60055	9	5	-1.549	87	15	2008
AFG	48	46.214	7.177	5474	16	43	56	0	2	70.605	81.674	20	6.235	67.609	11763	-1.508	79	79	14	50.091	30.114	19.186	1	8.276	99	2887114	-1.876	37	18	662	10	8	-1.375	29	27	2009
AGO	34	49.575	11.962	10525	1	65	35	26	3	123.046	106.691	96	6.26	447.2	27328	-0.945	101	79	59	46.531	90.301	30.37	0	8.88	110	141006	-1.236	6	9	2019	38	16	-1.126	62	39	2009
BDI	5	55.922	21.053	2204	1	77	54	0	8	55.872	65.349	102	6.409	152.786	2288	-1.067	133	77	65	45.436	26.327	2.243	2	10.401	136	94221	-1.16	1	5	355	2	2	-0.689	73	31	2009
BEN	30	64.257	44.498	1874	17	71	42	0	6	72.819	83.662	91	5.436	86.982	7159	-0.595	109	75	50	44.749	33.773	59.868	1	8.983	116	409	-0.654	11	0	74	2	1	0.343	72	11	2009
CHN	99	87.802	48.804	69203	29	68	54	2	9	52.854	59.604	82	1.714	73.608	16800	0.093	107	79	56	19.571	43.271	1.308	0	8.783	107	180546	-0.463	98	10	85	10	5	-1.701	69	21	2009
CMR	52	62.546	24.402	7247	10	75	61	3	5	87.531	91.489	88	5.227	89.461	10037	-0.854	100	83	57	44.287	28.619	6.611	1	9.544	108	14752	-1.131	18	5	804	6	4	-1.04	51	14	2009
COD	12	37.002	11.483	24132	4	66	32	1	15	40.299	40.915	93	6.591	217.813	2882	-1.653	88	72	44	46.689	39.682	11.285	0	8.648	95	455852	-1.644	2	4	22899	7	4	-1.409	42	8	2009
COG	37	64.833	19.139	1196	24	54	24	24	3	95.113	105.483	97	4.792	108.973	25374	-1.217	103	69	44	41.102	130.09	8.614	0	9.513	107	20546	-1.22	9	-2	93	40	20	-1.105	49	7	2009
ETH	24	32.438	40.191	23546	9	80	77	0	13	55.536	64.805	84	5.39	43.159	2947	-0.562	90	89	71	46.05	28.627	50.355	1	8.981	93	62877	-0.832	11	15	31509	3	2	-1.298	66	22	2009
GBR	100	100	94.258	1845	8	58	48	1	3	76.182	81.789	81	1.89	91.095	100825	1.508	105	69	57	18.425	36.514	0	0	6.543	105	155	1.732	100	-3	16	19	8	1.303	92	20	2009
GHA	61	74.549	65.072	4980	14	68	44	0	3	56.58	59.018	91	4.214	56.543	10361	-0.125	97	75	46	39.899	53.308	19.3	0	9.819	99	14876	-0.042	38	6	1294	11	5	0.498	75	8	2009
KEN	23	53.978	21.053	11068	8	71	43	0	5	75.571	83.886	93	4.514	61.096	9940	-0.664	107	76	47	43.869	34.63	13.315	1	10.079	109	9609	-1.023	10	6	11425	7	3	-0.332	76	10	2009
KHM	26	64.677	18.182	2095	16	70	62	0	5	49.122	52.331	85	2.871	150.063	5898	-0.96	124	76	64	33.572	96.387	56.254	1	10.671	129	17022	-1.124	12	2	39	1	1	-0.913	69	21	2009
MOZ	15	37.102	52.632	9334	1	78	59	1	15	62.906	63.158	102	5.626	60.21	2751	-0.6	110	80	70	46.547	48.198	42.61	1	8.79	116	130	-0.6	2	7	19679	7	3	-0.114	77	39	2009
MWI	8	61.308	54.067	5094	5	72	60	0	4	109.982	119.754	90	5.453	27.153	3895	-0.538	133	80	61	47.415	36.56	9.792	0	9.701	135	126	-0.117	3	7	5751	6	5	-0.149	62	21	2009
MYS	99	97.003	61.244	2271	20	58	43	5	5	78.641	79.799	57	2.217	84.279	52996	0.895	99	76	33	28.554	138.932	0.639	1	9.967	98	530	0.374	98	2	187	12	4	-0.504	47	10	2009
NAM	44	80.409	71.77	725	6	44	20	0	4	77.361	80.86	83	3.613	71.364	37021	0.209	114	62	28	38.285	90.907	48.606	1	9.838	116	918	0.252	21	6	159	44	22	0.376	80	27	2009
NGA	50	58.429	22.488	37723	11	58	28	4	7	112.995	100.517	89	6.039	78.895	16289	-1.2	79	64	30	44.51	30.727	22.179	6	8.676	83	15609	-1.156	25	12	13691	10	4	-0.849	57	7	2009
NPL	59	85.033	40.67	3345	10	36	36	0	6	114.143	130.542	39	2.604	68.708	13136	-0.965	142	59	17	38.199	40.506	41.641	23	9.613	141	5101	-0.868	53	6	109	20	11	-0.441	49	33	2009
PNG	17	36.859	19.139	1365	2	50	36	4	7	51.984	58.593	97	3.941	84.625	10931	-0.751	67	52	41	38.294	62.49	13.846	0	9.805	69	68	-0.912	9	3	1957	4	2	-0.011	58	1	2009
RWA	16	52.905	69.856	2143	2	54	41	0	6	34.455	35.431	79	4.716	70.318	5478	-0.28	149	68	43	43.756	27.192	3.204	0	10.309	148	129108	-0.504	8	6	67	16	12	-1.292	72	56	2009
SDN	30.18181818	58.3	38.53854545	12213	8.5	63.90909091	42.54545455	3.181818182	8.045454545	77.207	79.25572727	88.31818182	5.147136364	98.19478261	11607.5	-0.757136364	107.0454545	73.31818182	47.68181818	44.11813636	51.35395455	52	1.772727273	9.588545455	108.1652174	837188	-0.779090909	49	8.636363636	9195.590909	27	8.045454545	-0.626045455	66.18181818	21.13636364	2009
SSD	30.18181818	41.187	38.53854545	4120	8.5	63.90909091	42.54545455	3.181818182	8.045454545	77.207	79.25572727	88.31818182	5.147136364	99	12834.54545	-0.757136364	107.0454545	73.31818182	47.68181818	44.11813636	51.35395455	71	1.772727273	9.588545455	37.8	118459	-0.779090909	0.3	8.636363636	9195.590909	19	8.045454545	-0.626045455	66.18181818	21.13636364	2009
SWZ	39	61.148	68.9	396	25	38	13	0	5	91.601	85.44	81	3.473	91.989	34387	-0.43	113	58	26	40.319	96.078	12.997	3	11.402	120	28	-0.48	29	2	19	56	27	-1.272	39	14	2009
TCD	6	43.963	11.005	4004	5	64	46	9	4	115.415	99.794	72	7.021	111.643	5952	-1.419	70	75	42	49.119	51.664	68.07	0	8.353	84	54997	-1.527	2	10	67	1	1	-1.399	58	5	2009
TGO	34	56.445	24.88	1480	18	57	23	0	13	89.358	85.869	90	5.034	90.306	5978	-1.357	114	62	29	42.105	51.081	52.568	7	9.16	123	18363	-0.896	14	3	218	5	3	-0.979	69	11	2009
THA	99	97.235	54.545	7580	18	72	54	2	5	71.122	77.703	80	1.567	126.14	27346	0.207	104	81	41	20.635	101.569	0.575	1	7.321	105	498	-0.26	99	0	315	6	1	-0.456	75	13	2009
TZA	11	41.968	52.153	8089	3	85	74	0	9	61.703	73.198	95	5.357	58.914	5299	-0.628	104	89	77	45.726	31.948	9.582	0	9.446	105	1191	-0.48	2	6	7700	5	2	-0.16	81	31	2009
UGA	10	38.749	28.708	9179	5	68	54	0	10	69.149	76.129	87	6.174	66.363	6502	-0.671	123	75	51	50.903	23.142	9.701	3	9.043	123	7543	-0.412	2	7	1095	5	4	-0.509	68	31	2009
VNM	96	88.052	48.325	7127	17	75	59	2	4	35.231	44.045	89	1.906	89.227	12324	-0.245	96	80	58	25.957	119.837	9.314	6	9.316	97	339299	-0.532	95	7	471	4	2	-1.483	70	26	2009
ZAF	83	89.143	68.421	25993	11	46	23	2	9	76.142	71.103	78	2.501	72.454	42910	0.311	105	66	30	30.649	41.161	6.256	0	10.879	106	380	0.072	77	0	10520	39	21	0.571	79	44	2009
ZMB	27	56.708	52.153	5340	3	53	32	0	9	65.27	71.333	76	5.452	87.757	11000	-0.819	110	68	36	47.508	53.13	18.437	0	9.596	112	201	-0.48	8	9	4712	23	11	-0.3	61	14	2009
ZWE	43	68.065	11.962	5334	4	62	51	0	21	69.85	79.742	86	3.945	8.101	6582	-1.553	103	71	43	45.145	82.642	25.743	12	10.907	106	22441	-1.87	20	67	68153	9	5	-1.539	87	15	2009
AFG	43	48.827	3.81	6125	19	43	56	0	3	67.988	70.2	20	6.099	70.188	12985	-1.478	83	79	14	49.722	34.951	18.341	2	8.412	103	3054699	-1.87	30	18	2369	10	8	-1.404	29	28	2010
AGO	35	50.377	14.286	10472	2	64	35	33	3	152.481	105.603	96	6.194	591.513	27570	-1.138	100	79	59	46.53	80.265	29.071	0	8.876	112	134851	-1.273	6	6	1484	38	17	-1.121	62	39	2010
AUS	100	99.883	99.048	734	9	62	61	1	5	113.294	83.76	81	1.928	75.117	103484	1.763	105	72	67	19.642	36.059	0	0	7.049	105	38	1.758	100	2	3	12	5	1.42	84	25	2010
BDI	5	56.523	20.952	2180	1	77	52	0	8	83.895	79.824	102	6.26	165.867	2289	-1.125	139	78	63	45.468	30.018	2.167	2	10.278	139	84053	-1.205	1	6	333	2	2	-0.943	73	32	2010
BEN	34	64.52	42.857	1933	17	71	40	0	6	76.201	72.372	92	5.39	87.749	7080	-0.61	111	75	49	44.51	34.986	58.952	1	8.975	117	438	-0.674	11	2	983	2	1	0.314	72	11	2010
CHN	100	88.714	45.238	70155	30	68	53	2	9	69.399	76.353	82	1.687	78.673	18586	0.092	105	78	55	19.419	48.857	1.183	0	8.982	105	184601	-0.473	99	10	157	10	5	-1.681	69	21	2010
CMR	53	63.16	21.429	7385	10	73	58	4	4	95.57	81.198	86	5.16	90.077	10321	-0.903	101	82	53	44.206	32.758	6.41	0	9.554	109	14952	-1.079	16	5	10759	6	4	-1.058	51	14	2010
COD	13	36.904	10	24806	4	65	31	1	14	61.024	49.966	92	6.587	263.089	3036	-1.719	89	71	42	46.669	45.442	11.365	0	8.665	96	476691	-1.627	2	-5	13884	7	4	-1.409	42	8	2010
DEU	100	100	94.762	1845	14	55	48	0	4	94.927	91.427	80	1.39	92.139	114245	1.516	104	66	49	14.278	68.058	0	0	5.831	104	159	1.638	100	1	4	10	7	1.298	97	33	2010
ETH	26	33.989	40.476	22921	9	80	77	0	13	79.96	80.761	84	5.217	43.782	3203	-0.489	88	89	71	45.62	36.521	47.546	1	9.143	91	68838	-0.808	13	17	1682	3	2	-1.345	66	28	2010
GBR	100	100	93.81	1731	7	57	48	1	3	89.29	90.037	81	1.92	92.538	102877	1.618	105	69	56	18.392	40.735	0	0	6.559	106	152	1.775	100	3	8	20	8	1.29	95	22	2010
GHA	64	75.614	63.81	4891	13	67	44	0	3	77.125	69.321	91	4.206	65.927	10943	-0.103	98	75	45	39.778	58.644	19.128	0	9.697	99	20175	-0.033	55	10	438	11	5	0.515	75	8	2010
IND	76	86.151	50.952	200521	18	50	42	1	5	84.475	79.246	36	2.603	91.968	14639	0.032	113	79	20	31.418	34.41	44.372	3	9.229	113	17766	-0.036	68	8	5155	19	8	0.443	66	11	2010
KEN	19	54.677	29.524	10815	8	72	43	0	5	87.519	91.019	93	4.367	62.098	10389	-0.583	109	76	46	43.695	38.017	12.767	2	10.002	110	8585	-0.954	7	7	3188	7	3	-0.219	76	10	2010
KHM	31	65.87	16.19	2016	16	69	61	0	5	60.208	60.809	84	2.774	154.746	6197	-0.963	122	76	64	33.071	106.153	52.725	5	10.562	125	16308	-1.123	16	3	588	1	1	-0.927	75	21	2010
KOR	100	99.029	72.381	1429	14	59	17	0	6	88.539	75.655	68	1.226	92.71	76075	1.148	101	73	28	17.054	77.959	0	1	6.129	101	578	1.008	100	5	1	9	3	0.741	85	15	2010
MOZ	19	39.028	52.857	9712	1	78	59	1	13	87.892	72.687	101	5.63	64.814	2871	-0.616	111	80	69	46.657	66.597	40.777	1	8.813	117	120	-0.488	1	10	7430	7	3	-0.121	79	39	2010
MWI	9	62.127	52.381	4918	5	71	59	0	4	98.713	102.775	89	5.274	30.446	4126	-0.47	135	79	60	47.544	32.325	9.233	0	9.529	136	168	-0.138	4	6	1155	7	5	-0.191	62	21	2010
MYS	100	97.018	63.81	2291	20	58	42	5	5	99.33	87.705	57	2.144	90.404	55228	1.046	99	76	32	27.813	142.435	0.547	0	10.023	99	550	0.394	99	5	443	11	3	-0.5	47	10	2010
NER	14	43.56	42.857	5136	12	79	81	0	5	105.747	106.853	76	7.485	90.019	3307	-0.704	55	90	59	49.274	46.184	74.995	2	8.046	62	794	-0.499	5	3	1154	1	1	-0.667	54	12	2010
NGA	48	60.048	21.429	37517	11	58	28	7	7	167.277	119.331	89	5.98	100	17132	-1.165	79	64	30	44.573	34.942	21.911	5	8.596	83	15645	-1.159	24	13	44456	10	4	-0.777	57	7	2010
