country	Access_to_Electricity_percent_of_Population	basic_drinking_water_access_pct	Control_of_Corruption_Percentile_Rank_Upper_Bound_of_90_percent_Confidence_Interval	death_20_24_years	Employment_in_Industry_Female_percent_of_Female_Employment_ILO_modeled_estimates	Employment_to_Population_Ratio_Ages_15__Total_percent_ILO_modeled_estimates	Employment_to_Population_Ratio_Ages_15_24_Male_percent_ILO_modeled_estimates	energy_consumption_gnipct	energy_intensity_mj_gdp	export_value_index_2000	export_volume_index_2000	Female_to_Male_Labor_Force_Participation_Rate_Ratio_percent_ILO_modeled_estimates	fertility_rate_total	gdp_deflator	GDP_per_Employed_Person_constant_2021_PPP_dollars	government_effectiveness_estimate	Gross_Enrollment_Ratio_of_Girls_in_Primary_School_percent	Labor_Force_Participation_Rate_Male_percent_of_Male_Population_Ages_15__ILO_modeled_estimates	Labor_Force_Participation_Rate_of_Women_Aged_15_24_percent_ILO_modeled_estimates	male_population_0_14_pct	Merchandise_Trade_percent_of_GDP	open_defecation_percent	personal_remittances_gdp_percent	Population_Aged_20_24_Female_percent_of_Female_Population	primary_school_enrollment_gross	refugee_population	Rule_of_Law_estimate	rural_electricity_access_pct	service_value_added_growth	Total_Cases	Unemployment_Rate_Youth_Total_percent_of_Total_Labor_Force_Ages_15_24_ILO_modeled_estimates	unemployment_total_ilo	voice_accountability_estimate	Women_Business_and_the_Law_Index_score_scale_1_100	women_parliament_seats_percent	year
COM	45	90.006	51.852	79	12	40	15	0	3	112.091	401.272	63	5.206	85.916	14268	-0.765	95	52	16	47.794	16.903	0.653	6	8.654	104	40	-0.745	33	2	1567	10	4	-0.345	44	2	2002
CZE	100	99.811	73.545	530	27	55	38	0	7	24.381	39.349	74	1.17	82.781	66880	0.922	105	69	35	16.519	96.292	0	0	7.436	106	6985	0.86	100	1	2	16	7	1.016	73	17	2002
DEU	100	100	96.825	2541	18	52	47	0	4	46.436	71.051	75	1.34	84.757	113325	1.66	105	66	48	16.018	53.217	0	0	5.546	105	924	1.634	100	1	1	9	8	1.414	79	32	2002
ESP	100	100	91.005	1756	14	48	40	0	4	44.527	67.498	63	1.25	80.207	101730	1.786	105	66	38	15.158	41.028	0	0	7.307	105	58	1.229	100	3	1	22	11	1.275	94	28	2002
GAB	78	81.193	50.794	319	4	41	17	20	4	47.124	108.257	64	4.36	100.856	88939	-0.283	134	61	17	40.398	66.424	2.153	0	9.195	136	34	-0.249	21	1	6	35	17	-0.527	51	9	2002
IND	62	81.131	46.032	222359	13	52	53	1	7	18.38	29.949	38	3.217	52.944	9588	-0.189	91	81	24	34.645	20.54	67.465	3	9.044	98	14349	-0.017	51	6	3455	14	8	0.426	64	9	2002
IRN	98	94.571	60.317	9995	26	39	41	5	7	40.181	103.277	21	1.865	11.942	43645	-0.617	101	73	15	30.003	37.981	0.518	1	11.214	104	138362	-0.822	95	7	118	25	13	-1.075	26	4	2002
JPN	100	98.504	84.656	3590	20	58	40	0	5	66.685	64.31	65	1.32	108.22	78727	1.017	104	75	45	14.665	18.024	0	0	5.943	104	14	1.149	100	1	27	10	5	1.014	76	7	2002
MDG	14	38.213	71.958	4387	5	82	68	0	9	23.727	39.047	94	5.225	61.741	3381	-0.324	97	89	73	45.275	20.797	41.102	1	8.882	98	52	-0.21	6	-15	27	8	6	-0.153	49	6	2002
MLI	13	52.986	47.09	3615	5	69	62	0	5	32.171	84.494	76	6.821	107.684	5400	-0.698	54	80	52	46.475	46.109	18.064	4	9.411	63	525	-0.264	2	3	18	2	1	0.281	49	10	2002
MWI	6	55.531	31.746	6427	5	76	65	0	6	37.693	68.803	93	5.96	12.824	2858	-0.765	142	84	68	46.288	21.878	13.723	0	9.854	147	48	-0.391	2	2	32618	7	5	-0.583	60	9	2002
NER	9	38.907	38.095	4444	12	78	76	0	6	25.655	70.842	77	7.671	64.145	3040	-0.823	31	89	57	47.963	26.849	81.343	1	8.479	39	829	-0.647	2	2	236	4	2	-0.204	48	1	2002
NGA	45	47.288	6.349	38976	12	58	27	5	9	35.795	78.798	89	6.135	34.446	11940	-1.02	87	64	30	43.803	26.85	23.873	1	9.252	97	24559	-1.496	22	11	5429	9	4	-0.634	54	3	2002
NLD	100	100	99.471	416	9	63	71	0	4	42.784	64.546	75	1.73	84.153	109964	1.933	106	74	73	19.191	97.776	0	0	5.862	107	32	1.707	100	0	1	5	3	1.469	89	34	2002
SDN	30.26666667	58.3	43.88013333	12213	9.4	63.2	46.46666667	1.933333333	7.666666667	41.59006667	102.8244667	82.33333333	5.348333333	61.8018125	11730	-0.604133333	95.26666667	74.2	46.86666667	44.80946667	40.8264	63.94	1.933333333	9.3386	97.2625	837188	-0.649933333	49	1.733333333	4530.066667	27	7.266666667	-0.535333333	53.93333333	10	2002
SSD	30.26666667	41.187	43.88013333	4120	9.4	63.2	46.46666667	1.933333333	7.666666667	41.59006667	102.8244667	82.33333333	5.348333333	113	15794.06667	-0.604133333	95.26666667	74.2	46.86666667	44.80946667	40.8264	71	1.933333333	9.3386	35.2	118459	-0.649933333	0.2	1.733333333	4530.066667	19	7.266666667	-0.535333333	53.93333333	10	2002
SWZ	26	55.1	71.958	336	26	39	16	0	6	56.782	98.569	77	3.805	59.2	28454	-0.498	92	60	28	44.341	138.526	20.732	3	10.18	97	20	-0.782	17	3	134	53	26	-1.402	39	3	2002
TGO	21	47.95	47.619	1371	6	56	23	0	10	42.253	132.003	89	5.194	76.236	6626	-1.199	105	62	29	43.011	42.237	59.622	4	9.329	116	10441	-0.83	6	-6	257	7	4	-1.384	51	5	2002
TZA	11	31.48	38.095	10795	2	84	74	0	12	20.267	50.332	96	5.623	32.701	4100	-0.487	88	89	78	45.23	18.684	11.38	0	9.513	90	578	-0.342	3	8	11920	5	3	-0.399	68	22	2002
UGA	8	28.991	31.746	10775	5	67	54	0	13	20.617	40.566	84	6.779	40.47	4801	-0.481	132	76	52	51.517	24.601	13.188	7	8.52	135	40414	-0.698	2	7	2274	5	4	-0.931	47	25	2002
ZAF	77	85.633	73.545	25521	17	49	30	2	8	36.694	69.911	74	2.324	45.198	36239	0.608	92	71	35	35.306	45.698	10.793	0	8.977	93	271	0.027	64	4	10004	36	20	0.66	79	30	2002
ZWE	34	71.706	23.81	6781	5	62	50	0	13	61.941	132.06	85	3.887	5.269	10700	-0.84	108	71	43	43.535	59.334	30.383	0	11.855	111	4024	-1.596	7	-1	3125	10	5	-1.363	70	10	2002
BEN	24	62.573	53.968	1579	17	71	55	0	5	32.166	64.315	84	5.77	73.991	6925	-0.561	82	78	57	45.75	26.789	65.516	1	8.837	96	274	-0.426	7	6	434	1	1	0.188	47	6	2003
BFA	11	56.8	66.667	3525	4	73	73	0	5	14.729	23.793	75	6.28	75.906	3943	-0.813	41	86	61	47	26.283	69.063	1	9.19	48	852	-0.624	1	4	1	4	3	-0.31	71	12	2003
CHN	97	81.597	53.439	65314	24	72	59	1	11	19.276	27.021	84	1.57	54.989	9092	-0.148	113	82	64	22.907	51.256	2.162	0	7.884	112	132390	-0.553	96	10	229	10	5	-1.512	65	20	2003
CMR	45	58.532	30.159	6269	8	77	64	2	6	56.246	120.568	91	5.463	78.86	9383	-0.843	94	86	66	45.073	27.839	7.872	0	9.32	103	6215	-1.163	14	9	207	9	6	-1.06	51	9	2003
COM	46	89.172	52.91	77	12	40	15	0	3	157.518	473.058	64	5.149	90.308	14333	-1.225	93	51	16	47.805	17.737	0.648	6	8.773	101	62	-0.751	38	2	56	10	5	-0.574	44	3	2003
DEU	100	100	97.884	2415	17	52	45	0	4	56.67	73.35	76	1.34	85.877	113643	1.357	104	65	47	15.742	54.211	0	0	5.621	104	719	1.638	100	-1	1	11	10	1.414	79	32	2003
GAB	78	81.553	52.91	321	4	41	17	16	4	59.892	119.746	64	4.299	100.637	87871	-0.425	132	61	17	39.971	65.542	2.138	0	9.313	133	37	-0.406	21	1	629	34	17	-0.663	51	9	2003
GBR	100	100	98.413	2082	10	59	56	1	4	65.606	80.638	78	1.7	77.878	99224	1.746	101	70	58	19.359	34.23	0	0	6.211	101	146	1.667	100	4	9	11	5	1.333	89	18	2003
IND	65	81.769	50.794	222232	13	51	52	1	6	22.005	31.703	38	3.122	54.992	10217	-0.144	104	80	24	34.278	21.642	64.531	3	9.092	106	13703	0.12	55	7	2893	14	8	0.455	64	9	2003
IRN	98	94.772	58.73	12826	26	40	42	6	7	48.026	108.401	23	1.824	13.51	45148	-0.565	103	73	15	28.643	38.131	0.508	1	11.722	106	122530	-0.681	95	8	96	23	12	-1.253	26	4	2003
JPN	100	98.504	90.476	3434	19	58	40	0	5	75.5	70.211	65	1.29	106.481	80103	1.157	103	74	45	14.51	18.912	0	0	5.743	104	17	1.164	100	2	16	10	5	1.083	76	7	2003
MDG	20	38.844	60.317	4418	3	82	69	0	8	41.79	64.407	94	5.172	60.689	3572	-0.416	111	89	73	45.14	33.896	40.819	0	8.791	112	86	-0.247	8	13	5	7	5	0.045	49	4	2003
MLI	15	54.576	42.857	3671	5	69	62	0	5	34.159	69.723	75	6.782	99.506	5694	-0.724	56	80	52	46.437	46.648	17.285	3	9.464	65	456	0.03	2	5	1455	2	1	0.336	49	10	2003
MOZ	8	26.831	44.974	7375	0	80	60	0	23	30.616	45.997	105	5.733	43.044	2017	-0.539	81	80	76	45.906	42.5	53.259	1	8.671	91	106	-0.702	1	4	13758	6	3	-0.031	36	30	2003
MWI	6	56.364	40.741	6311	5	77	65	0	5	48.631	88.256	93	5.942	14.151	2948	-0.78	139	84	68	46.423	28.417	13.159	0	10.018	143	60	-0.18	1	6	2736	7	5	-0.428	60	9	2003
NER	9	39.562	38.624	4563	12	77	76	0	6	32.368	81.235	77	7.654	64.024	3019	-0.651	34	90	58	48.144	28.697	80.549	1	8.467	42	716	-0.522	3	0	292	4	2	-0.156	48	1	2003
NGA	52	48.857	8.995	39059	12	58	28	7	9	47.855	90.157	89	6.116	37.824	12491	-0.916	89	64	30	43.893	33.306	23.65	1	9.233	98	24414	-1.513	33	3	1933	9	4	-0.662	54	5	2003
NLD	100	100	98.942	395	8	62	69	0	4	51.892	67.011	77	1.75	85.979	110960	1.955	107	73	74	19.143	96.663	0	0	5.827	108	38	1.709	100	1	1	7	4	1.527	89	37	2003
RWA	7	47.618	53.439	3214	1	54	44	0	6	9.237	24.041	77	5.674	40.909	3991	-1.038	122	70	45	45.143	15.059	3.874	0	10.236	122	75258	-0.958	1	7	12	16	12	-1.307	64	49	2003
